"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","happy","sad","anger","surprise","disgust","fear","content","disapp"
7,33,45,60,90,0.5,0.3,0.2,90,0.2,0.916,9,1,1,6,1,1,9,1
29,3,0,30,60,0.41,0.37,0.22,60,0.22,0.094,9,1,1,9,1,1,2,1
92,45,10,50,75,0.6,0.24,0.16,75,0.16,0.592,9,1,1,8,1,1,5,1
62,49,50,75,90,0.3,0.52,0.18,50,0.3,0.524,6,3,2,5,2,3,5,4
35,10,20,45,70,0.43,0.39,0.18,20,0.43,0.33,7,2,1,1,1,1,6,3
18,23,20,60,90,0.34,0.22,0.44,60,0.22,0.307,8,1,1,6,1,2,8,2
68,14,30,50,95,0.33,0.29,0.38,50,0.29,0.873,7,3,3,6,3,3,6,2
27,28,40,65,100,0.36,0.4,0.24,40,0.36,0.558,9,1,1,9,1,1,3,7
80,32,45,60,90,0.52,0.29,0.19,60,0.29,0.149,7,2,2,6,1,1,5,1
14,23,20,60,90,0.34,0.22,0.44,60,0.22,0.383,6,1,1,6,1,1,5,2
87,3,0,30,60,0.41,0.37,0.22,60,0.22,0.231,1,6,6,6,7,3,1,9
83,21,25,45,80,0.3,0.3,0.4,80,0.4,0.329,7,1,1,7,1,1,8,1
59,18,25,60,100,0.43,0.35,0.22,100,0.22,0.361,9,1,1,8,1,1,8,1
10,20,25,45,80,0.26,0.32,0.42,45,0.32,0.185,5,1,1,1,1,1,1,3
69,9,15,70,80,0.45,0.29,0.26,80,0.26,0.264,9,1,1,5,1,1,1,1
24,22,20,60,90,0.32,0.16,0.52,20,0.32,0.979,5,2,1,1,1,1,1,5
79,9,15,70,80,0.45,0.29,0.26,80,0.26,0.882,9,1,1,7,1,1,1,1
73,33,45,60,90,0.5,0.3,0.2,90,0.2,0.347,9,1,1,8,1,1,8,1
54,18,25,60,100,0.43,0.35,0.22,100,0.22,0.679,9,1,1,7,1,1,8,1
75,49,50,75,90,0.3,0.52,0.18,50,0.3,0.097,5,1,1,5,1,1,5,1
52,11,20,45,70,0.41,0.35,0.24,45,0.35,0.815,7,1,1,4,1,1,9,1
66,15,30,50,95,0.3,0.3,0.4,95,0.4,0.892,8,1,1,9,1,1,8,1
5,20,25,45,80,0.26,0.32,0.42,45,0.32,0.262,7,1,1,1,1,1,5,1
48,13,30,50,95,0.31,0.25,0.44,30,0.31,0.89,6,5,3,7,6,3,3,8
57,30,40,65,100,0.37,0.32,0.31,100,0.31,0.237,9,1,1,7,2,1,4,1
19,32,45,60,90,0.52,0.29,0.19,60,0.29,0.928,8,3,2,8,2,2,7,3
51,34,30,50,90,0.43,0.23,0.34,30,0.43,0.374,7,1,2,4,2,1,5,6
55,5,10,35,75,0.515,0.3,0.185,35,0.3,0.286,8,8,6,7,4,3,4,5
86,19,25,45,80,0.31,0.32,0.37,25,0.31,0.427,5,6,7,7,5,1,4,7
85,40,0,40,95,0.27,0.38,0.35,0,0.27,0.468,1,1,3,2,2,1,2,8
45,16,25,60,100,0.45,0.37,0.18,25,0.45,0.771,4,4,2,6,6,1,5,7
8,16,25,60,100,0.45,0.37,0.18,25,0.45,0.99,6,2,2,5,6,2,7,7
4,5,10,35,75,0.515,0.3,0.185,35,0.3,0.666,6,4,2,5,3,3,6,3
82,32,45,60,90,0.52,0.29,0.19,60,0.29,0.87,7,1,2,6,1,1,7,3
28,5,10,35,75,0.515,0.3,0.185,35,0.3,0.308,7,1,1,6,1,1,1,1
20,36,30,50,90,0.39,0.25,0.36,90,0.36,0.486,9,1,1,9,1,1,9,1
38,44,10,50,75,0.58,0.24,0.18,50,0.24,0.428,8,2,1,9,1,1,9,2
11,49,50,75,90,0.3,0.52,0.18,50,0.3,0.655,7,3,3,5,3,1,7,6
