"workerid","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","reactionTime","outcomeEstimate1","outcomeEstimate2","outcomeEstimate3"
107,5,10,35,75,0.515,0.3,0.185,35,0.3,63839,7,5,1
40,20,25,45,80,0.26,0.32,0.42,45,0.32,8543,1,4,9
37,38,20,50,90,0.3,0.18,0.52,50,0.18,79767,4,8,3
3,30,40,65,100,0.37,0.32,0.31,100,0.31,30587,5,7,9
6,3,0,30,60,0.41,0.37,0.22,60,0.22,27272,1,8,1
82,9,15,70,80,0.45,0.29,0.26,80,0.26,40983,9,1,1
36,18,25,60,100,0.43,0.35,0.22,100,0.22,80717,5,7,1
85,15,30,50,95,0.3,0.3,0.4,95,0.4,43848,1,5,8
59,7,15,70,80,0.47,0.28,0.25,15,0.47,31056,9,2,1
1,29,40,65,100,0.38,0.34,0.28,65,0.34,18573,4,9,1
16,15,30,50,95,0.3,0.3,0.4,95,0.4,37017,2,4,7
112,39,20,50,90,0.32,0.18,0.5,90,0.5,38008,1,9,6
29,33,45,60,90,0.5,0.3,0.2,90,0.2,45161,2,6,8
115,43,10,50,75,0.55,0.28,0.17,10,0.55,31225,7,3,1
38,33,45,60,90,0.5,0.3,0.2,90,0.2,21252,1,1,9
39,39,20,50,90,0.32,0.18,0.5,90,0.5,55944,3,6,8
13,3,0,30,60,0.41,0.37,0.22,60,0.22,15345,1,5,9
33,30,40,65,100,0.37,0.32,0.31,100,0.31,31980,8,3,1
24,38,20,50,90,0.3,0.18,0.52,50,0.18,37352,5,7,8
48,27,15,50,75,0.25,0.38,0.37,75,0.37,71949,3,7,8
71,17,25,60,100,0.42,0.38,0.2,60,0.38,37064,1,6,8
28,10,20,45,70,0.43,0.39,0.18,20,0.43,56806,7,6,2
99,32,45,60,90,0.52,0.29,0.19,60,0.29,33258,7,9,3
44,36,30,50,90,0.39,0.25,0.36,90,0.36,114311,6,3,6
104,47,55,70,85,0.28,0.51,0.21,70,0.51,29567,2,8,2
34,6,10,35,75,0.5,0.32,0.18,75,0.18,45914,2,8,6
41,21,25,45,80,0.3,0.3,0.4,80,0.4,19972,2,9,4
72,20,25,45,80,0.26,0.32,0.42,45,0.32,43061,3,3,7
87,16,25,60,100,0.45,0.37,0.18,25,0.45,24195,9,5,1
43,12,20,45,70,0.4,0.34,0.26,70,0.26,47380,2,5,8
93,32,45,60,90,0.52,0.29,0.19,60,0.29,58675,9,4,2
53,14,30,50,95,0.33,0.29,0.38,50,0.29,28617,3,6,8
47,27,15,50,75,0.25,0.38,0.37,75,0.37,30234,1,6,9
106,23,20,60,90,0.34,0.22,0.44,60,0.22,45962,2,7,8
67,33,45,60,90,0.5,0.3,0.2,90,0.2,30922,2,7,5
122,40,0,40,95,0.27,0.38,0.35,0,0.27,30917,9,1,1
81,2,0,30,60,0.42,0.31,0.27,30,0.31,25169,5,7,2
22,6,10,35,75,0.5,0.32,0.18,75,0.18,37147,1,2,8
69,9,15,70,80,0.45,0.29,0.26,80,0.26,29603,4,9,9
56,46,55,70,85,0.26,0.53,0.21,55,0.26,56077,4,9,3
35,22,20,60,90,0.32,0.16,0.52,20,0.32,47940,9,4,1
50,31,45,60,90,0.54,0.3,0.16,45,0.54,434696,8,5,2
114,22,20,60,90,0.32,0.16,0.52,20,0.32,23208,7,1,1
2,11,20,45,70,0.41,0.35,0.24,45,0.35,39161,9,4,1
27,8,15,70,80,0.49,0.27,0.24,70,0.27,21325,1,9,6
76,11,20,45,70,0.41,0.35,0.24,45,0.35,47007,9,3,3
23,48,55,70,85,0.25,0.52,0.23,85,0.23,9592,4,5,9
96,44,10,50,75,0.58,0.24,0.18,50,0.24,82062,7,9,3
52,24,20,60,90,0.33,0.2,0.47,90,0.47,39470,6,8,9
95,8,15,70,80,0.49,0.27,0.24,70,0.27,25867,1,8,6
49,27,15,50,75,0.25,0.38,0.37,75,0.37,39194,1,9,5
15,10,20,45,70,0.43,0.39,0.18,20,0.43,55034,8,3,1
20,19,25,45,80,0.31,0.32,0.37,25,0.31,45067,9,5,1
88,39,20,50,90,0.32,0.18,0.5,90,0.5,15822,2,5,9
55,12,20,45,70,0.4,0.34,0.26,70,0.26,61994,7,5,2
58,33,45,60,90,0.5,0.3,0.2,90,0.2,99944,7,4,3
90,26,15,50,75,0.24,0.4,0.36,50,0.4,39443,3,7,2
105,32,45,60,90,0.52,0.29,0.19,60,0.29,38674,3,7,5
7,50,50,75,90,0.32,0.5,0.18,75,0.5,31111,7,4,1
46,47,55,70,85,0.28,0.51,0.21,70,0.51,36952,6,9,7
89,40,0,40,95,0.27,0.38,0.35,0,0.27,44068,6,7,3
63,36,30,50,90,0.39,0.25,0.36,90,0.36,67132,9,7,1
14,37,20,50,90,0.28,0.19,0.53,20,0.28,29187,1,9,2
4,42,0,40,95,0.26,0.42,0.32,95,0.32,81682,1,4,9
92,37,20,50,90,0.28,0.19,0.53,20,0.28,208036,8,8,3
84,18,25,60,100,0.43,0.35,0.22,100,0.22,30420,8,9,2
91,29,40,65,100,0.38,0.34,0.28,65,0.34,40816,5,8,1
119,16,25,60,100,0.45,0.37,0.18,25,0.45,14204,7,5,2
21,21,25,45,80,0.3,0.3,0.4,80,0.4,57366,1,5,8
116,43,10,50,75,0.55,0.28,0.17,10,0.55,23970,9,2,1
101,42,0,40,95,0.26,0.42,0.32,95,0.32,53693,1,9,3
100,15,30,50,95,0.3,0.3,0.4,95,0.4,45772,1,7,7
68,12,20,45,70,0.4,0.34,0.26,70,0.26,57065,2,4,9
73,28,40,65,100,0.36,0.4,0.24,40,0.36,26977,9,5,1
12,49,50,75,90,0.3,0.52,0.18,50,0.3,80535,9,3,1
77,24,20,60,90,0.33,0.2,0.47,90,0.47,51090,1,5,4
97,48,55,70,85,0.25,0.52,0.23,85,0.23,38258,1,5,9
74,11,20,45,70,0.41,0.35,0.24,45,0.35,49762,8,5,1
111,11,20,45,70,0.41,0.35,0.24,45,0.35,41542,4,9,1
102,3,0,30,60,0.41,0.37,0.22,60,0.22,33780,1,6,8
5,8,15,70,80,0.49,0.27,0.24,70,0.27,19359,4,5,3
113,31,45,60,90,0.54,0.3,0.16,45,0.54,43459,9,5,1
94,40,0,40,95,0.27,0.38,0.35,0,0.27,33734,9,1,1
42,6,10,35,75,0.5,0.32,0.18,75,0.18,33282,4,7,7
62,10,20,45,70,0.43,0.39,0.18,20,0.43,68833,9,8,3
18,23,20,60,90,0.34,0.22,0.44,60,0.22,47050,9,4,1
117,23,20,60,90,0.34,0.22,0.44,60,0.22,52581,5,9,1
79,3,0,30,60,0.41,0.37,0.22,60,0.22,54257,1,6,8
83,34,30,50,90,0.43,0.23,0.34,30,0.43,147570,9,2,1
30,37,20,50,90,0.28,0.19,0.53,20,0.28,44854,7,5,1
32,42,0,40,95,0.26,0.42,0.32,95,0.32,45285,5,5,7
31,5,10,35,75,0.515,0.3,0.185,35,0.3,36984,8,5,1
121,45,10,50,75,0.6,0.24,0.16,75,0.16,103371,4,9,1
70,48,55,70,85,0.25,0.52,0.23,85,0.23,71688,1,1,9
103,9,15,70,80,0.45,0.29,0.26,80,0.26,28593,1,9,7
110,28,40,65,100,0.36,0.4,0.24,40,0.36,30838,9,5,1
11,48,55,70,85,0.25,0.52,0.23,85,0.23,47079,2,7,6
45,27,15,50,75,0.25,0.38,0.37,75,0.37,30279,9,1,1
54,4,10,35,75,0.5,0.31,0.19,10,0.5,29864,7,4,1
86,35,30,50,90,0.41,0.24,0.35,50,0.24,49544,8,8,2
26,22,20,60,90,0.32,0.16,0.52,20,0.32,13900,8,3,9
118,10,20,45,70,0.43,0.39,0.18,20,0.43,22897,6,3,2
66,27,15,50,75,0.25,0.38,0.37,75,0.37,43366,1,5,9
51,40,0,40,95,0.27,0.38,0.35,0,0.27,38043,9,7,1
120,42,0,40,95,0.26,0.42,0.32,95,0.32,38469,1,9,4
78,27,15,50,75,0.25,0.38,0.37,75,0.37,80197,2,9,3
8,48,55,70,85,0.25,0.52,0.23,85,0.23,19284,1,7,7
57,29,40,65,100,0.38,0.34,0.28,65,0.34,61690,3,4,7
17,49,50,75,90,0.3,0.52,0.18,50,0.3,48689,9,7,1
108,27,15,50,75,0.25,0.38,0.37,75,0.37,41019,1,9,5
64,28,40,65,100,0.36,0.4,0.24,40,0.36,21039,7,4,1
25,2,0,30,60,0.42,0.31,0.27,30,0.31,56082,6,9,1
98,6,10,35,75,0.5,0.32,0.18,75,0.18,28100,3,5,9
19,3,0,30,60,0.41,0.37,0.22,60,0.22,51139,1,5,9
80,40,0,40,95,0.27,0.38,0.35,0,0.27,61091,7,2,1
75,27,15,50,75,0.25,0.38,0.37,75,0.37,24582,2,6,9
10,48,55,70,85,0.25,0.52,0.23,85,0.23,59416,6,8,6
9,42,0,40,95,0.26,0.42,0.32,95,0.32,41490,1,8,4
60,10,20,45,70,0.43,0.39,0.18,20,0.43,19056,6,7,4
109,23,20,60,90,0.34,0.22,0.44,60,0.22,41682,3,8,5
61,27,15,50,75,0.25,0.38,0.37,75,0.37,27373,1,5,9
65,42,0,40,95,0.26,0.42,0.32,95,0.32,77620,4,7,3
107,22,20,60,90,0.32,0.16,0.52,20,0.32,43453,8,6,2
40,44,10,50,75,0.58,0.24,0.18,50,0.24,19716,2,5,8
37,41,0,40,95,0.27,0.4,0.33,40,0.4,27437,2,8,6
3,32,45,60,90,0.52,0.29,0.19,60,0.29,14683,9,7,4
6,40,0,40,95,0.27,0.38,0.35,0,0.27,19585,9,1,1
82,44,10,50,75,0.58,0.24,0.18,50,0.24,13332,9,1,1
36,24,20,60,90,0.33,0.2,0.47,90,0.47,33449,3,7,9
85,14,30,50,95,0.33,0.29,0.38,50,0.29,23652,8,6,2
59,18,25,60,100,0.43,0.35,0.22,100,0.22,32721,1,8,9
1,44,10,50,75,0.58,0.24,0.18,50,0.24,11780,1,9,1
16,20,25,45,80,0.26,0.32,0.42,45,0.32,24802,7,5,2
112,31,45,60,90,0.54,0.3,0.16,45,0.54,40806,6,5,1
29,43,10,50,75,0.55,0.28,0.17,10,0.55,19101,9,3,1
115,9,15,70,80,0.45,0.29,0.26,80,0.26,19842,3,6,7
38,48,55,70,85,0.25,0.52,0.23,85,0.23,11806,1,1,9
39,33,45,60,90,0.5,0.3,0.2,90,0.2,22488,3,7,9
13,19,25,45,80,0.31,0.32,0.37,25,0.31,21417,8,6,1
33,15,30,50,95,0.3,0.3,0.4,95,0.4,13832,5,7,2
24,29,40,65,100,0.38,0.34,0.28,65,0.34,24971,8,5,2
48,42,0,40,95,0.26,0.42,0.32,95,0.32,37101,1,6,6
71,40,0,40,95,0.27,0.38,0.35,0,0.27,19332,9,1,1
