"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","faceID","faceValence","faceArousal","occludeFace","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
35,13,15,22,12,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.442,42797,1,-3,0,0,0,5,2,2,4,1,1,9,1,47.85,32.15,32.15
425,10,10,25,17,4,32,45,60,90,0.52,0.29,0.19,60,0.29,0.963,16946,4,0,0,0,1,3,5,1,1,1,1,3,6,57.9,2.1,2.1
371,11,10,22,16,10,49,50,75,90,0.3,0.52,0.18,50,0.3,0.199,26488,1,-3,0,0,1,2,8,7,3,8,6,1,7,70.2,-20.2,20.2
183,16,13,20,5,0,12,20,45,70,0.4,0.34,0.26,70,0.26,0.51,31317,1,-3,0,0,0,5,5,5,5,5,5,5,5,41.5,28.5,28.5
340,17,19,21,8,2,49,50,75,90,0.3,0.52,0.18,50,0.3,0.921,20215,35,3,4,1,0,6,1,1,6,3,1,6,4,70.2,-20.2,20.2
149,20,10,27,7,4,9,15,70,80,0.45,0.29,0.26,80,0.26,0.873,19621,32,0,4,1,0,8,1,1,9,1,1,1,1,47.85,32.15,32.15
236,20,20,28,4,3,49,50,75,90,0.3,0.52,0.18,50,0.3,0.467,29713,32,0,4,1,0,6,2,2,3,1,1,3,5,70.2,-20.2,20.2
201,15,14,13,14,12,41,0,40,95,0.27,0.4,0.33,40,0.4,0.615,23879,29,-3,4,1,0,6,1,1,6,1,1,7,4,47.35,-7.35,7.35
428,8,12,21,25,8,16,25,60,100,0.45,0.37,0.18,25,0.45,0.519,15918,29,-3,4,0,1,2,6,7,4,6,2,1,8,51.45,-26.45,26.45
251,16,10,22,21,8,16,25,60,100,0.45,0.37,0.18,25,0.45,0.679,18897,35,3,4,0,0,7,2,1,4,1,1,1,1,51.45,-26.45,26.45
334,16,16,24,10,8,12,20,45,70,0.4,0.34,0.26,70,0.26,0.47,30058,1,-3,0,0,1,5,5,5,5,5,5,5,6,41.5,28.5,28.5
73,8,13,15,21,15,12,20,45,70,0.4,0.34,0.26,70,0.26,0.451,17459,4,0,0,0,1,1,3,1,1,1,1,1,4,41.5,28.5,28.5
372,12,14,21,19,5,12,20,45,70,0.4,0.34,0.26,70,0.26,0.936,24246,29,-3,4,0,1,4,7,6,5,8,2,2,7,41.5,28.5,28.5
378,9,10,10,7,4,24,20,60,90,0.33,0.2,0.47,90,0.47,0.96,25534,32,0,4,1,0,9,1,1,9,1,1,1,1,60.9,29.1,29.1
317,9,8,12,14,1,14,30,50,95,0.33,0.29,0.38,50,0.29,0.457,34056,32,0,4,0,1,3,6,3,5,5,3,3,7,60.5,-10.5,10.5
247,17,10,23,19,0,41,0,40,95,0.27,0.4,0.33,40,0.4,0.799,29383,4,0,0,0,0,6,4,3,2,1,1,5,3,47.35,-7.35,7.35
74,15,9,16,21,8,32,45,60,90,0.52,0.29,0.19,60,0.29,0.637,14176,4,0,0,1,0,6,2,2,6,1,1,5,2,57.9,2.1,2.1
197,14,15,18,16,14,16,25,60,100,0.45,0.37,0.18,25,0.45,0.297,11948,7,3,0,0,0,3,3,7,5,2,2,4,6,51.45,-26.45,26.45
55,16,14,24,19,2,9,15,70,80,0.45,0.29,0.26,80,0.26,0.457,21970,7,3,0,0,0,8,2,2,6,2,2,5,2,47.85,32.15,32.15
163,14,6,12,19,16,14,30,50,95,0.33,0.29,0.38,50,0.29,0.27,46822,7,3,0,1,0,5,5,5,4,2,2,5,3,60.5,-10.5,10.5
290,13,16,20,17,12,9,15,70,80,0.45,0.29,0.26,80,0.26,0.647,29553,29,-3,4,1,0,8,1,1,7,1,1,7,1,47.85,32.15,32.15
235,10,15,24,13,9,14,30,50,95,0.33,0.29,0.38,50,0.29,0.526,22974,7,3,0,1,0,5,1,1,6,1,1,1,1,60.5,-10.5,10.5
426,16,17,21,24,2,41,0,40,95,0.27,0.4,0.33,40,0.4,0.646,24578,32,0,4,0,0,7,1,1,7,1,1,1,1,47.35,-7.35,7.35
68,16,15,25,19,8,12,20,45,70,0.4,0.34,0.26,70,0.26,0.836,13393,35,3,4,0,0,8,1,1,6,1,1,7,1,41.5,28.5,28.5
300,11,15,16,15,2,41,0,40,95,0.27,0.4,0.33,40,0.4,0.733,23998,29,-3,4,1,0,7,2,2,7,2,2,7,2,47.35,-7.35,7.35
295,11,14,21,4,10,9,15,70,80,0.45,0.29,0.26,80,0.26,0.837,47265,4,0,0,0,0,7,1,1,6,1,1,6,1,47.85,32.15,32.15
225,7,16,17,5,13,16,25,60,100,0.45,0.37,0.18,25,0.45,0.66,86858,35,3,4,1,0,3,7,7,3,6,4,1,9,51.45,-26.45,26.45
127,16,13,24,18,17,41,0,40,95,0.27,0.4,0.33,40,0.4,0.878,14144,35,3,4,1,0,6,1,1,3,1,1,8,2,47.35,-7.35,7.35
53,13,12,19,18,9,49,50,75,90,0.3,0.52,0.18,50,0.3,0.233,17487,4,0,0,0,1,3,1,2,5,1,1,5,1,70.2,-20.2,20.2
398,10,10,22,14,4,12,20,45,70,0.4,0.34,0.26,70,0.26,0.637,27228,29,-3,4,0,0,3,4,7,5,7,2,2,4,41.5,28.5,28.5
