"workerid","IRIPT","IRIEC","ERQApp","ERQSupp","LSAS","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","reactionTime","utteranceID","occludeUtterance","occludeWheel","happy","sad","anger","surprise","disgust","fear","content","disapp","EV","PE","absPE"
90,11,14,8,8,6,14,30,50,95,0.33,0.29,0.38,50,0.29,0.74,7600,3,0,1,5,1,1,1,1,1,5,1,60.5,-10.5,10.5
73,12,12,16,16,2,32,45,60,90,0.52,0.29,0.19,60,0.29,0.947,21452,7,1,0,8,1,1,9,1,1,9,3,57.9,2.1,2.1
11,11,13,24,22,15,9,15,70,80,0.45,0.29,0.26,80,0.26,0.414,45417,10,0,0,9,6,6,8,8,5,6,5,47.85,32.15,32.15
23,15,16,18,25,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.751,25693,5,0,1,2,7,2,5,6,2,3,8,41.5,28.5,28.5
114,18,18,23,21,7,14,30,50,95,0.33,0.29,0.38,50,0.29,0.843,32255,5,0,1,2,5,1,6,7,1,1,8,60.5,-10.5,10.5
127,19,17,23,13,3,32,45,60,90,0.52,0.29,0.19,60,0.29,0.868,23141,6,0,1,3,5,3,6,4,1,3,7,57.9,2.1,2.1
132,11,11,15,16,14,9,15,70,80,0.45,0.29,0.26,80,0.26,0.027,34587,9,1,0,8,1,1,6,1,1,8,1,47.85,32.15,32.15
101,15,13,24,18,12,32,45,60,90,0.52,0.29,0.19,60,0.29,0.514,33896,2,0,0,7,1,1,6,1,1,6,3,57.9,2.1,2.1
41,14,12,16,18,11,47,55,70,85,0.28,0.51,0.21,70,0.51,0.413,11889,2,0,0,7,1,1,5,1,1,1,1,68.95,1.05,1.05
21,16,16,19,4,11,41,0,40,95,0.27,0.4,0.33,40,0.4,0.348,18109,7,0,1,1,4,9,3,8,1,1,9,47.35,-7.35,7.35
69,14,14,18,19,3,16,25,60,100,0.45,0.37,0.18,25,0.45,0.995,38471,5,0,1,1,7,1,1,7,1,1,9,51.45,-26.45,26.45
82,17,14,20,13,11,9,15,70,80,0.45,0.29,0.26,80,0.26,0.583,22721,7,1,0,7,2,1,6,1,1,9,2,47.85,32.15,32.15
74,12,9,10,8,12,32,45,60,90,0.52,0.29,0.19,60,0.29,0.226,12878,8,1,0,8,1,1,8,1,1,1,1,57.9,2.1,2.1
54,16,17,21,16,9,24,20,60,90,0.33,0.2,0.47,90,0.47,0.529,25142,6,0,0,6,1,1,6,1,1,1,1,60.9,29.1,29.1
32,20,20,21,20,8,24,20,60,90,0.33,0.2,0.47,90,0.47,0.588,27199,8,1,0,9,1,1,9,1,1,9,1,60.9,29.1,29.1
14,11,13,22,21,11,14,30,50,95,0.33,0.29,0.38,50,0.29,0.314,8530,10,0,0,3,7,7,6,5,2,2,2,60.5,-10.5,10.5
80,20,17,19,21,8,9,15,70,80,0.45,0.29,0.26,80,0.26,0.723,32443,4,1,0,9,1,1,9,1,1,9,1,47.85,32.15,32.15
81,14,16,19,27,15,47,55,70,85,0.28,0.51,0.21,70,0.51,0.214,12007,3,0,1,7,1,1,4,1,1,1,1,68.95,1.05,1.05
88,16,15,22,20,2,49,50,75,90,0.3,0.52,0.18,50,0.3,0.404,23345,2,0,1,8,1,1,7,1,1,7,1,70.2,-20.2,20.2
45,16,18,21,10,5,49,50,75,90,0.3,0.52,0.18,50,0.3,0.115,28685,7,0,1,1,6,3,3,2,2,1,9,70.2,-20.2,20.2
56,18,13,25,16,2,12,20,45,70,0.4,0.34,0.26,70,0.26,0.713,29586,5,0,1,3,7,5,5,6,6,2,9,41.5,28.5,28.5
117,16,18,24,24,12,12,20,45,70,0.4,0.34,0.26,70,0.26,0.027,28899,3,1,0,8,1,1,9,1,1,2,1,41.5,28.5,28.5
135,9,14,19,25,12,24,20,60,90,0.33,0.2,0.47,90,0.47,0.522,22445,7,0,1,2,5,7,1,2,1,1,7,60.9,29.1,29.1
96,12,13,22,10,5,9,15,70,80,0.45,0.29,0.26,80,0.26,0.33,33110,8,0,0,2,6,1,1,4,1,1,6,47.85,32.15,32.15
48,18,20,17,9,7,9,15,70,80,0.45,0.29,0.26,80,0.26,0.144,23850,9,0,1,3,1,1,3,2,1,7,8,47.85,32.15,32.15
52,17,17,24,15,10,12,20,45,70,0.4,0.34,0.26,70,0.26,0.33,22312,4,0,1,5,1,1,4,2,1,5,3,41.5,28.5,28.5
123,20,20,16,13,18,24,20,60,90,0.33,0.2,0.47,90,0.47,0.002,62475,2,1,0,7,1,1,6,1,1,7,1,60.9,29.1,29.1
63,15,16,19,16,5,12,20,45,70,0.4,0.34,0.26,70,0.26,0.074,28195,2,0,1,9,1,1,9,1,1,9,1,41.5,28.5,28.5
136,14,16,21,12,7,16,25,60,100,0.45,0.37,0.18,25,0.45,0.742,24945,6,0,0,3,6,4,2,6,3,4,7,51.45,-26.45,26.45
46,4,4,20,8,13,47,55,70,85,0.28,0.51,0.21,70,0.51,0.129,40539,7,0,1,1,7,7,7,7,1,1,9,68.95,1.05,1.05
